run,task,word,answer,correct,responsetime,timestamp
0,8,Kopf,-1,0,0:00:05.002000,0:00:11.002000
0,5,Geld,-1,0,0:00:05.006000,0:00:21.017000
0,12,Paar,-1,0,0:00:05.009000,0:00:31.035000
0,2,Chip,-1,0,0:00:05.008000,0:00:41.048000
0,9,Land,-1,0,0:00:05.008000,0:00:51.064000
0,13,Quark,-1,0,0:00:05.010000,0:01:01.082000
0,20,Zelt,-1,0,0:00:05.007000,0:01:11.093000
0,14,Rock,-1,0,0:00:05.010000,0:01:21.110000
0,7,Jahr,-1,0,0:00:05.008000,0:01:31.125000
0,19,Wand,-1,0,0:00:05.008000,0:01:41.140000
0,16,Schrank,-1,0,0:00:05.012000,0:01:51.158000
0,18,Vieh,-1,0,0:00:05.007000,0:02:01.170000
0,4,Frau,-1,0,0:00:05.008000,0:02:11.186000
0,10,Mond,-1,0,0:00:05.007000,0:02:21.201000
0,1,Baum,-1,0,0:00:05.008000,0:02:31.216000
0,15,Stuhl,-1,0,0:00:05.009000,0:02:41.231000
0,3,Dorf,-1,0,0:00:05.004000,0:02:51.247000
0,6,Herz,-1,0,0:00:05.008000,0:03:01.262000
0,17,Tisch,-1,0,0:00:05.005000,0:03:11.278000
0,11,Nacht,-1,0,0:00:05.009000,0:03:21.292000
1,19,Wand,-1,0,0:00:05.008000,0:03:41.306000
1,9,Land,-1,0,0:00:05.005000,0:03:51.323000
1,5,Geld,-1,0,0:00:05.007000,0:04:01.337000
1,17,Tisch,-1,0,0:00:05.008000,0:04:11.352000
1,10,Mond,-1,0,0:00:05.002000,0:04:21.367000
1,16,Schrank,-1,0,0:00:05.007000,0:04:31.382000
1,4,Frau,-1,0,0:00:05.007000,0:04:41.399000
1,14,Rock,-1,0,0:00:05.007000,0:04:51.416000
1,3,Dorf,-1,0,0:00:05.006000,0:05:01.429000
1,1,Baum,-1,0,0:00:05.009000,0:05:11.444000
1,18,Vieh,-1,0,0:00:05.006000,0:05:21.458000
1,7,Jahr,-1,0,0:00:05.010000,0:05:31.477000
1,11,Nacht,-1,0,0:00:05.009000,0:05:41.491000
1,6,Herz,-1,0,0:00:05.009000,0:05:51.506000
1,8,Kopf,-1,0,0:00:05.011000,0:06:01.523000
1,12,Paar,-1,0,0:00:05.009000,0:06:11.538000
1,13,Quark,-1,0,0:00:05.005000,0:06:21.551000
1,20,Zelt,-1,0,0:00:05.007000,0:06:31.566000
1,2,Chip,-1,0,0:00:05.013000,0:06:41.587000
1,15,Stuhl,-1,0,0:00:05.009000,0:06:51.613000
2,19,Wand,-1,0,0:00:05.009000,0:07:11.643000
2,20,Zelt,-1,0,0:00:05.004000,0:07:21.657000
2,13,Quark,-1,0,0:00:05.010000,0:07:31.674000
2,14,Rock,-1,0,0:00:05.008000,0:07:41.689000
2,18,Vieh,-1,0,0:00:05.006000,0:07:51.704000
2,5,Geld,-1,0,0:00:05.011000,0:08:01.722000
2,2,Chip,-1,0,0:00:05.008000,0:08:11.734000
2,17,Tisch,-1,0,0:00:05.007000,0:08:21.750000
2,16,Schrank,-1,0,0:00:05.007000,0:08:31.764000
2,4,Frau,-1,0,0:00:05.010000,0:08:41.784000
2,7,Jahr,-1,0,0:00:05.004000,0:08:51.795000
2,11,Nacht,-1,0,0:00:05.007000,0:09:01.812000
2,15,Stuhl,-1,0,0:00:05.007000,0:09:11.826000
2,9,Land,-1,0,0:00:05.007000,0:09:21.841000
2,8,Kopf,-1,0,0:00:05.006000,0:09:31.858000
2,6,Herz,-1,0,0:00:05.007000,0:09:41.871000
2,1,Baum,-1,0,0:00:05.009000,0:09:51.889000
2,3,Dorf,-1,0,0:00:05.008000,0:10:01.903000
