run,task,word,number,answer,correct,responsetime,timestamp
0,11,Nuss,9,-1,0,0:00:05.009000,0:00:11.013000
0,3,Dampf,7,-1,0,0:00:05.007000,0:00:21.027000
0,17,Taxi,3,-1,0,0:00:05.007000,0:00:31.043000
0,6,Hemd,4,-1,0,0:00:05.007000,0:00:41.058000
0,7,Jagd,3,-1,0,0:00:05.012000,0:00:51.078000
0,2,Carl,8,-1,0,0:00:05.005000,0:01:01.088000
0,15,Stern,5,-1,0,0:00:05.008000,0:01:11.104000
0,10,Milch,0,-1,0,0:00:05.003000,0:01:21.118000
0,16,Schuh,4,-1,0,0:00:05.007000,0:01:31.134000
0,8,Kind,2,-1,0,0:00:05.009000,0:01:41.151000
0,20,Zink,0,-1,0,0:00:05.009000,0:01:51.168000
0,9,Laub,1,-1,0,0:00:05.008000,0:02:01.180000
0,14,Rot,6,-1,0,0:00:05.010000,0:02:11.197000
0,18,Vers,2,-1,0,0:00:05.008000,0:02:21.212000
0,5,Gans,5,-1,0,0:00:05.010000,0:02:31.228000
0,13,Quarz,7,-1,0,0:00:05.004000,0:02:41.241000
0,19,Wald,1,-1,0,0:00:05.007000,0:02:51.256000
0,4,Fisch,6,-1,0,0:00:05.008000,0:03:01.273000
0,1,Bein,9,-1,0,0:00:05.012000,0:03:11.290000
0,12,Pilz,8,-1,0,0:00:05.004000,0:03:21.302000
1,19,Wald,1,-1,0,0:00:04.997000,0:03:41.317000
1,6,Hemd,4,-1,0,0:00:05.005000,0:03:51.332000
1,10,Milch,0,-1,0,0:00:05.008000,0:04:01.347000
1,17,Taxi,3,-1,0,0:00:05.008000,0:04:11.364000
1,8,Kind,2,-1,0,0:00:05.010000,0:04:21.380000
1,9,Laub,1,-1,0,0:00:05.012000,0:04:31.397000
1,11,Nuss,9,-1,0,0:00:05.012000,0:04:41.412000
1,2,Carl,8,-1,0,0:00:05.006000,0:04:51.424000
1,4,Fisch,6,-1,0,0:00:05.011000,0:05:01.442000
1,16,Schuh,4,-1,0,0:00:05.006000,0:05:11.453000
1,15,Stern,5,-1,0,0:00:05.010000,0:05:21.472000
1,1,Bein,9,-1,0,0:00:05.008000,0:05:31.487000
1,3,Dampf,7,-1,0,0:00:05.003000,0:05:41.501000
1,20,Zink,0,-1,0,0:00:05.006000,0:05:51.515000
1,18,Vers,2,-1,0,0:00:05.009000,0:06:01.532000
1,12,Pilz,8,-1,0,0:00:05.006000,0:06:11.546000
1,7,Jagd,3,-1,0,0:00:05.007000,0:06:21.560000
1,13,Quarz,7,-1,0,0:00:05.007000,0:06:31.576000
1,14,Rot,6,-1,0,0:00:05.009000,0:06:41.593000
1,5,Gans,5,-1,0,0:00:05.008000,0:06:51.607000
2,7,Jagd,3,-1,0,0:00:05.004000,0:07:11.622000
2,19,Wald,1,-1,0,0:00:05.007000,0:07:21.637000
2,5,Gans,5,-1,0,0:00:05.009000,0:07:31.654000
2,4,Fisch,6,-1,0,0:00:05.009000,0:07:41.670000
2,10,Milch,0,-1,0,0:00:05.004000,0:07:51.683000
2,12,Pilz,8,-1,0,0:00:05.008000,0:08:01.698000
2,13,Quarz,7,-1,0,0:00:05.007000,0:08:11.715000
2,14,Rot,6,-1,0,0:00:05.006000,0:08:21.729000
2,8,Kind,2,-1,0,0:00:05.006000,0:08:31.746000
2,18,Vers,2,-1,0,0:00:05.009000,0:08:41.761000
2,1,Bein,9,-1,0,0:00:05.009000,0:08:51.777000
2,17,Taxi,3,-1,0,0:00:05.010000,0:09:01.792000
2,2,Carl,8,-1,0,0:00:05.004000,0:09:11.805000
2,16,Schuh,4,-1,0,0:00:05.009000,0:09:21.821000
2,15,Stern,5,-1,0,0:00:05.006000,0:09:31.837000
2,6,Hemd,4,-1,0,0:00:05.012000,0:09:41.855000
2,3,Dampf,7,-1,0,0:00:05.005000,0:09:51.866000
2,9,Laub,1,-1,0,0:00:05.008000,0:10:01.882000
2,20,Zink,0,-1,0,0:00:05.007000,0:10:11.898000
2,11,Nuss,9,-1,0,0:00:05.008000,0:10:21.912000
3,5,Gans,5,-1,0,0:00:05.008000,0:10:41.927000
3,4,Fisch,6,-1,0,0:00:05.006000,0:10:51.942000
3,7,Jagd,3,-1,0,0:00:05.006000,0:11:01.956000
3,17,Taxi,3,-1,0,0:00:05.008000,0:11:11.975000
3,11,Nuss,9,-1,0,0:00:05.010000,0:11:21.990000
3,20,Zink,0,-1,0,0:00:05.005000,0:11:32.019000
3,2,Carl,8,-1,0,0:00:05.003000,0:11:42.034000
3,1,Bein,9,-1,0,0:00:05.006000,0:11:52.049000
3,8,Kind,2,-1,0,0:00:05.007000,0:12:02.065000
3,3,Dampf,7,-1,0,0:00:05.005000,0:12:12.080000
3,9,Laub,1,-1,0,0:00:05.008000,0:12:22.095000
3,6,Hemd,4,-1,0,0:00:05.008000,0:12:32.110000
3,10,Milch,0,-1,0,0:00:05.007000,0:12:42.125000
3,13,Quarz,7,-1,0,0:00:05.008000,0:12:52.141000
3,12,Pilz,8,-1,0,0:00:05.008000,0:13:02.156000
3,18,Vers,2,-1,0,0:00:05.006000,0:13:12.171000
3,14,Rot,6,-1,0,0:00:05.011000,0:13:22.190000
3,16,Schuh,4,-1,0,0:00:05.008000,0:13:32.203000
3,19,Wald,1,-1,0,0:00:05.010000,0:13:42.223000
3,15,Stern,5,-1,0,0:00:05.006000,0:13:52.232000
4,6,Hemd,4,-1,0,0:00:05.008000,0:14:12.263000
4,20,Zink,0,-1,0,0:00:05.007000,0:14:22.279000
4,15,Stern,5,-1,0,0:00:05.007000,0:14:32.294000
4,1,Bein,9,-1,0,0:00:05.005000,0:14:42.309000
4,18,Vers,2,-1,0,0:00:05.007000,0:14:52.324000
4,16,Schuh,4,-1,0,0:00:05.005000,0:15:02.339000
4,12,Pilz,8,-1,0,0:00:05.006000,0:15:12.355000
4,11,Nuss,9,-1,0,0:00:05.008000,0:15:22.370000
4,8,Kind,2,-1,0,0:00:05.006000,0:15:32.387000
4,4,Fisch,6,-1,0,0:00:05.008000,0:15:42.401000
4,5,Gans,5,-1,0,0:00:05.008000,0:15:52.417000
4,17,Taxi,3,-1,0,0:00:05.009000,0:16:02.433000
4,9,Laub,1,-1,0,0:00:05.006000,0:16:12.448000
4,19,Wald,1,-1,0,0:00:05.009000,0:16:22.464000
4,2,Carl,8,-1,0,0:00:05.005000,0:16:32.476000
4,13,Quarz,7,-1,0,0:00:05.011000,0:16:42.496000
4,10,Milch,0,-1,0,0:00:05.006000,0:16:52.523000
4,7,Jagd,3,-1,0,0:00:05.007000,0:17:02.540000
4,14,Rot,6,-1,0,0:00:05.008000,0:17:12.553000
4,3,Dampf,7,-1,0,0:00:05.006000,0:17:22.569000
5,5,Gans,5,-1,0,0:00:05.009000,0:17:42.600000
5,14,Rot,6,-1,0,0:00:05.011000,0:17:52.618000
5,17,Taxi,3,-1,0,0:00:05.006000,0:18:02.632000
5,6,Hemd,4,-1,0,0:00:05.008000,0:18:12.647000
5,2,Carl,8,-1,0,0:00:05.011000,0:18:22.664000
5,11,Nuss,9,-1,0,0:00:05.011000,0:18:32.679000
5,15,Stern,5,-1,0,0:00:05.005000,0:18:42.706000
5,8,Kind,2,-1,0,0:00:05.007000,0:18:52.722000
5,16,Schuh,4,-1,0,0:00:05.004000,0:19:02.736000
5,20,Zink,0,-1,0,0:00:05.013000,0:19:12.757000
5,10,Milch,0,-1,0,0:00:05.008000,0:19:22.768000
5,13,Quarz,7,-1,0,0:00:05.006000,0:19:32.783000
5,19,Wald,1,-1,0,0:00:05.006000,0:19:42.798000
5,18,Vers,2,-1,0,0:00:05.006000,0:19:52.813000
5,9,Laub,1,-1,0,0:00:05.008000,0:20:02.830000
5,4,Fisch,6,-1,0,0:00:05.009000,0:20:12.847000
5,3,Dampf,7,-1,0,0:00:05.010000,0:20:22.876000
5,7,Jagd,3,-1,0,0:00:05.006000,0:20:32.891000
5,1,Bein,9,-1,0,0:00:05.009000,0:20:42.906000
5,12,Pilz,8,-1,0,0:00:05.009000,0:20:52.924000
6,5,Gans,5,-1,0,0:00:05.005000,0:21:12.951000
6,8,Kind,2,-1,0,0:00:05.010000,0:21:22.968000
6,6,Hemd,4,-1,0,0:00:05.010000,0:21:32.985000
6,20,Zink,0,-1,0,0:00:05.006000,0:21:43.013000
6,15,Stern,5,-1,0,0:00:05.008000,0:21:53.030000
6,9,Laub,1,-1,0,0:00:05.006000,0:22:03.043000
6,16,Schuh,4,-1,0,0:00:05.007000,0:22:13.058000
6,18,Vers,2,-1,0,0:00:05.008000,0:22:23.074000
6,3,Dampf,7,-1,0,0:00:05.006000,0:22:33.088000
6,12,Pilz,8,-1,0,0:00:05.009000,0:22:43.106000
6,1,Bein,9,-1,0,0:00:05.004000,0:22:53.119000
6,17,Taxi,3,-1,0,0:00:05.009000,0:23:03.135000
6,14,Rot,6,-1,0,0:00:05.007000,0:23:13.150000
6,7,Jagd,3,-1,0,0:00:05.008000,0:23:23.165000
6,10,Milch,0,-1,0,0:00:05.008000,0:23:33.196000
6,11,Nuss,9,-1,0,0:00:05.008000,0:23:43.212000
6,19,Wald,1,-1,0,0:00:05.007000,0:23:53.226000
6,4,Fisch,6,-1,0,0:00:05.011000,0:24:03.245000
6,2,Carl,8,-1,0,0:00:05.007000,0:24:13.273000
6,13,Quarz,7,-1,0,0:00:05.008000,0:24:23.288000
7,6,Hemd,4,-1,0,0:00:05.007000,0:24:43.302000
7,1,Bein,9,-1,0,0:00:05.008000,0:24:53.318000
7,5,Gans,5,-1,0,0:00:05.010000,0:25:03.336000
7,19,Wald,1,-1,0,0:00:05.007000,0:25:13.348000
7,11,Nuss,9,-1,0,0:00:05.006000,0:25:23.366000
7,7,Jagd,3,-1,0,0:00:05.008000,0:25:33.379000
7,10,Milch,0,-1,0,0:00:05.010000,0:25:43.398000
7,12,Pilz,8,-1,0,0:00:05.007000,0:25:53.409000
7,20,Zink,0,-1,0,0:00:05.006000,0:26:03.425000
7,9,Laub,1,-1,0,0:00:05.008000,0:26:13.440000
7,17,Taxi,3,-1,0,0:00:05.004000,0:26:23.455000
7,3,Dampf,7,-1,0,0:00:05.007000,0:26:33.470000
7,15,Stern,5,-1,0,0:00:05.007000,0:26:43.485000
7,2,Carl,8,-1,0,0:00:05.007000,0:26:53.503000
7,18,Vers,2,-1,0,0:00:05.003000,0:27:03.516000
7,4,Fisch,6,-1,0,0:00:05.008000,0:27:13.532000
7,13,Quarz,7,-1,0,0:00:05.011000,0:27:23.550000
7,8,Kind,2,-1,0,0:00:05.009000,0:27:33.579000
7,16,Schuh,4,-1,0,0:00:05.008000,0:27:43.594000
7,14,Rot,6,-1,0,0:00:05.006000,0:27:53.609000
