run,task,word,number,answer,correct,responsetime,timestamp
0,7,Jagd,3,-1,0,0:00:05.010000,0:00:11.019000
0,18,Vers,2,-1,0,0:00:05.007000,0:00:21.033000
0,3,Dampf,7,-1,0,0:00:05.009000,0:00:31.048000
0,15,Stern,5,-1,0,0:00:05.010000,0:00:41.065000
0,5,Gans,5,-1,0,0:00:05.011000,0:00:51.083000
0,19,Wald,1,-1,0,0:00:05.008000,0:01:01.109000
0,20,Zink,0,-1,0,0:00:05.007000,0:01:11.124000
0,8,Kind,2,-1,0,0:00:05.008000,0:01:21.140000
0,14,Rot,6,-1,0,0:00:05.010000,0:01:31.157000
0,2,Carl,8,-1,0,0:00:05.004000,0:01:41.170000
0,16,Schuh,4,-1,0,0:00:05.008000,0:01:51.186000
0,12,Pilz,8,-1,0,0:00:05.009000,0:02:01.202000
0,13,Quarz,7,-1,0,0:00:05.008000,0:02:11.219000
0,9,Laub,1,-1,0,0:00:05.003000,0:02:21.231000
0,4,Fisch,6,-1,0,0:00:05.007000,0:02:31.247000
0,6,Hemd,4,-1,0,0:00:05.005000,0:02:41.261000
0,17,Taxi,3,-1,0,0:00:05.009000,0:02:51.278000
0,1,Bein,9,-1,0,0:00:05.007000,0:03:01.292000
0,10,Milch,0,-1,0,0:00:05.009000,0:03:11.308000
0,11,Nuss,9,-1,0,0:00:05.002000,0:03:21.323000
1,2,Carl,8,4,0,0:00:04.056000,0:00:10.055000
1,15,Stern,5,5,1,0:00:03.654000,0:00:19.667000
1,18,Vers,2,2,1,0:00:02.311000,0:00:28.339000
1,3,Dampf,7,9,0,0:00:04.710000,0:00:40.756000
1,19,Wald,1,1,1,0:00:03.914000,0:00:49.992000
1,4,Fisch,6,6,1,0:00:04.807000,0:01:00.912000
1,8,Kind,2,2,1,0:00:03.157000,0:01:09.275000
1,12,Pilz,8,8,1,0:00:02.874000,0:01:19.008000
1,10,Milch,0,0,1,0:00:03.279000,0:01:29.430000
1,9,Laub,1,-1,0,0:00:05.008000,0:01:41.174000
1,16,Schuh,4,4,1,0:00:03.216000,0:01:49.397000
1,17,Taxi,3,3,1,0:00:03.690000,0:01:59.884000
1,14,Rot,6,6,1,0:00:04.089000,0:02:10.301000
1,5,Gans,5,7,0,0:00:04.681000,0:02:20.909000
1,11,Nuss,9,9,1,0:00:04.274000,0:02:30.518000
1,1,Bein,9,9,1,0:00:02.936000,0:02:39.193000
1,13,Quarz,7,7,1,0:00:03.526000,0:02:49.800000
1,7,Jagd,3,1,0,0:00:04.869000,0:03:01.157000
1,20,Zink,0,0,1,0:00:03.152000,0:03:09.456000
1,6,Hemd,4,8,0,0:00:04.187000,0:03:20.504000
2,5,Gans,5,-1,0,0:00:05.008000,0:03:41.355000
2,15,Stern,5,6,0,0:00:04.899000,0:03:51.265000
2,16,Schuh,4,4,1,0:00:02.936000,0:03:59.314000
2,20,Zink,0,0,1,0:00:02.403000,0:04:08.800000
2,6,Hemd,4,8,0,0:00:03.933000,0:04:20.343000
2,14,Rot,6,6,1,0:00:03.530000,0:04:29.954000
2,8,Kind,2,2,1,0:00:02.999000,0:04:39.440000
2,18,Vers,2,2,1,0:00:02.716000,0:04:49.174000
2,2,Carl,8,4,0,0:00:03.747000,0:05:00.220000
2,11,Nuss,9,9,1,0:00:03.592000,0:05:10.078000
2,17,Taxi,3,3,1,0:00:03.248000,0:05:19.749000
2,10,Milch,0,0,1,0:00:02.470000,0:05:28.985000
2,1,Bein,9,9,1,0:00:02.750000,0:05:39.281000
2,13,Quarz,7,4,0,0:00:04.150000,0:05:50.699000
2,3,Dampf,7,7,1,0:00:04.307000,0:06:00.870000
2,7,Jagd,3,3,1,0:00:04.587000,0:06:11.168000
2,4,Fisch,6,4,0,0:00:03.871000,0:06:20.463000
2,12,Pilz,8,8,1,0:00:02.907000,0:06:29.515000
2,19,Wald,1,-1,0,0:00:05.010000,0:06:41.634000
2,9,Laub,1,-1,0,0:00:05.012000,0:06:51.649000
3,20,Zink,0,0,1,0:00:02.516000,0:07:09.199000
3,17,Taxi,3,3,1,0:00:03.232000,0:07:19.931000
3,15,Stern,5,5,1,0:00:03.637000,0:07:30.352000
3,9,Laub,1,1,1,0:00:02.295000,0:07:39.026000
3,18,Vers,2,2,1,0:00:02.391000,0:07:49.136000
3,4,Fisch,6,6,1,0:00:02.173000,0:07:58.933000
